epoch,accuracy,learning_rate,loss,top_3_accuracy,val_accuracy,val_loss,val_top_3_accuracy
0,0.029126213863492012,0.0010000000474974513,4.046047687530518,0.07119741290807724,0.04545454680919647,3.9272964000701904,0.12121212482452393
1,0.019417475908994675,0.0010000000474974513,3.9694132804870605,0.06796116381883621,0.03030303120613098,3.9496755599975586,0.09090909361839294
2,0.029126213863492012,0.0010000000474974513,3.9559314250946045,0.0776699036359787,0.01515151560306549,3.9305222034454346,0.12121212482452393
3,0.04530744254589081,0.0010000000474974513,3.953172445297241,0.09385113418102264,0.04545454680919647,3.9236834049224854,0.1515151560306549
4,0.022653721272945404,0.0010000000474974513,3.964404821395874,0.08090614527463913,0.0,3.9414126873016357,0.07575757801532745
5,0.016181230545043945,0.0010000000474974513,3.969407320022583,0.06796116381883621,0.03030303120613098,3.943425416946411,0.06060606241226196
6,0.016181230545043945,0.0010000000474974513,3.950561046600342,0.051779936999082565,0.03030303120613098,3.9447293281555176,0.07575757801532745
7,0.016181230545043945,0.0010000000474974513,3.9230096340179443,0.07119741290807724,0.04545454680919647,3.9430339336395264,0.10606060922145844
8,0.03236246109008789,0.0010000000474974513,3.941275119781494,0.07443365454673767,0.04545454680919647,3.9460861682891846,0.10606060922145844
9,0.029126213863492012,0.0005000000237487257,3.936920166015625,0.06796116381883621,0.04545454680919647,3.9429588317871094,0.13636364042758942
10,0.016181230545043945,0.0005000000237487257,3.9465794563293457,0.06148867309093475,0.04545454680919647,3.942289352416992,0.12121212482452393
11,0.025889968499541283,0.0005000000237487257,3.943074941635132,0.08414239436388016,0.03030303120613098,3.9439830780029297,0.10606060922145844
12,0.022653721272945404,0.0005000000237487257,3.9310295581817627,0.09708737581968307,0.03030303120613098,3.948352336883545,0.10606060922145844
13,0.025889968499541283,0.0005000000237487257,3.935197591781616,0.0776699036359787,0.04545454680919647,3.9476447105407715,0.12121212482452393
